Company,Sector,Industry,Revenue,Profits,Employees
ADOBE,Retailing,Petroleum,676370,39631,82781
GOOGLE,Banking,Petroleum,265221,35959,84810
IBM,Retailing,Healthcare,761044,29771,87584
WALMART,Technology,Pharmaceutical,779382,23137,33865
NETFLIX,Banking,General,219215,79103,46039
NETFLIX,Energy,Software,292930,37733,77025
AMAZON,Automobile,Banking Sector,150402,80797,40817
META,Automobile,Petroleum,822467,70772,41596
GOOGLE,Energy,Software,611813,53054,47061
ORACLE,Pharma,Pharmaceutical,632336,28782,54832
GOOGLE,Healthcare,General,466242,29670,70541
IBM,Pharma,Software,525988,83587,45800
IBM,Automobile,General,701060,34809,77073
META,Technology,Software,309076,19299,59960
WALMART,Retailing,Healthcare,589412,39478,66994
WALMART,Pharma,Stocks,155688,53706,41913
GOOGLE,Retailing,Healthcare,556950,33438,36606
NETFLIX,Healthcare,Banking Sector,814173,87700,34938
WALMART,Energy,Healthcare,705005,83175,39428
MICROSOFT,Retailing,Banking Sector,810055,58669,76037
MICROSOFT,Healthcare,Healthcare,460757,83868,50189
ADOBE,Automobile,Petroleum,637861,71689,78307
META,Retailing,Stocks,537176,48990,46196
APPLE,Pharma,Banking Sector,398718,44278,67854
META,Pharma,Petroleum,314226,69566,69558
TESLA,Automobile,General,320868,85847,41424
META,Technology,Stocks,183130,54399,46153
WALMART,Pharma,Software,677599,76234,77104
IBM,Retailing,Software,467755,29124,67983
AMAZON,Pharma,Healthcare,262015,30561,31840
WALMART,Healthcare,Petroleum,266260,58750,56026
APPLE,Pharma,Healthcare,306682,15935,87892
APPLE,Energy,Software,761045,72027,63988
AMAZON,Pharma,Software,491281,38601,75437
ORACLE,Banking,Banking Sector,318626,42037,71774
AMAZON,Automobile,General,167402,37475,31136
ADOBE,Energy,Healthcare,531691,21749,83390
TESLA,Healthcare,Banking Sector,239798,71321,34352
ORACLE,Healthcare,Stocks,345254,85778,88886
IBM,Technology,Stocks,799141,86653,40975
TESLA,Banking,Banking Sector,821263,14149,36060
ADOBE,Retailing,Software,415648,78027,42638
APPLE,Pharma,Healthcare,130151,86569,57235
META,Technology,Healthcare,845134,88789,62759
IBM,Pharma,Petroleum,277236,63142,33173
WALMART,Retailing,Stocks,246173,38164,40315
IBM,Healthcare,Software,555033,72152,79326
WALMART,Retailing,General,245760,90408,80552
WALMART,Technology,Petroleum,243184,61145,56391
IBM,Retailing,Stocks,168884,26854,70469
APPLE,Automobile,Stocks,484597,80357,79804
META,Retailing,Healthcare,778235,39061,32426
ADOBE,Pharma,Healthcare,577406,60844,52106
MICROSOFT,Pharma,General,817413,34440,59841
WALMART,Banking,Pharmaceutical,671300,24582,39806
ADOBE,Retailing,Petroleum,219477,48283,31488
AMAZON,Banking,Vehicle Manufacturing,780725,79788,39215
ORACLE,Healthcare,General,729430,53813,38823
GOOGLE,Pharma,Pharmaceutical,518820,27883,31121
TESLA,Retailing,Banking Sector,491975,60872,85027
IBM,Healthcare,General,350043,85562,69072
ORACLE,Retailing,Software,142918,23736,44998
META,Technology,Stocks,413842,36002,57778
ORACLE,Pharma,Banking Sector,690852,59062,55386
ADOBE,Healthcare,Stocks,347311,14544,46997
IBM,Banking,Stocks,151891,29460,61578
APPLE,Automobile,Petroleum,504398,91511,40613
META,Retailing,Software,416431,18904,40902
TESLA,Pharma,General,589639,22190,58260
NETFLIX,Healthcare,General,557371,40910,38518
GOOGLE,Healthcare,Pharmaceutical,681843,25029,52438
ORACLE,Energy,Stocks,842696,93802,72076
APPLE,Retailing,Pharmaceutical,158956,43728,33843
IBM,Technology,Banking Sector,550239,76062,66990
WALMART,Automobile,Banking Sector,568745,51404,70822
IBM,Energy,Software,743788,56617,54377
ADOBE,Automobile,Stocks,383051,43935,61429
IBM,Retailing,Pharmaceutical,609175,67909,30179
IBM,Technology,General,249266,78394,38037
APPLE,Retailing,General,557613,83593,45063
IBM,Automobile,Vehicle Manufacturing,414585,22793,62046
GOOGLE,Automobile,General,695816,12720,63872
IBM,Healthcare,Banking Sector,594511,25077,39707
TESLA,Technology,Petroleum,484366,18969,60373
IBM,Retailing,General,553434,70370,36662
MICROSOFT,Technology,Software,365322,54534,35223
APPLE,Healthcare,Pharmaceutical,503662,80559,48058
META,Energy,Healthcare,545077,33935,37484
MICROSOFT,Technology,General,717583,68028,41909
ORACLE,Pharma,Banking Sector,593524,66824,76098
NETFLIX,Pharma,Pharmaceutical,645276,14890,43406
IBM,Pharma,General,474975,37078,73977
MICROSOFT,Pharma,Vehicle Manufacturing,289190,68603,46660
NETFLIX,Automobile,Vehicle Manufacturing,281147,21345,53149
TESLA,Technology,Healthcare,269936,73259,31243
APPLE,Technology,Pharmaceutical,547559,65369,57889
IBM,Energy,Banking Sector,782286,88242,31634
IBM,Healthcare,Petroleum,178034,69580,68568
META,Banking,Software,255362,44071,32447
APPLE,Banking,Pharmaceutical,739008,41926,65643
AMAZON,Technology,Pharmaceutical,727059,11396,50646
MICROSOFT,Banking,Petroleum,457048,33560,32771
ADOBE,Pharma,General,743288,50010,72374
TESLA,Healthcare,Software,539187,90443,64680
META,Banking,Healthcare,804505,19535,43019
META,Pharma,Software,843437,26765,83324
NETFLIX,Automobile,Pharmaceutical,232012,64855,89511
NETFLIX,Technology,Stocks,351789,74564,48786
APPLE,Automobile,Software,723755,45887,46268
MICROSOFT,Healthcare,Stocks,462976,68264,41994
MICROSOFT,Banking,Pharmaceutical,736177,85509,89766
IBM,Pharma,Software,140372,19781,76628
ADOBE,Retailing,Vehicle Manufacturing,817398,29293,31724
MICROSOFT,Automobile,General,665615,71390,83727
AMAZON,Healthcare,Stocks,235825,22668,56918
APPLE,Healthcare,Stocks,817852,14595,71341
WALMART,Banking,Pharmaceutical,224696,82532,82375
IBM,Retailing,Banking Sector,842588,91636,67457
AMAZON,Pharma,Software,278727,25674,35472
META,Technology,Pharmaceutical,818618,77613,32001
IBM,Pharma,Vehicle Manufacturing,397667,50860,65068
GOOGLE,Retailing,Petroleum,598213,57668,64206
AMAZON,Banking,Healthcare,723828,68718,63216
ORACLE,Automobile,General,690287,33619,34044
APPLE,Energy,General,564130,73168,50984
META,Banking,Petroleum,313565,35761,54920
TESLA,Technology,Pharmaceutical,749616,63852,35996
WALMART,Banking,Petroleum,290497,77964,88391
META,Banking,Pharmaceutical,298381,89630,73936
NETFLIX,Pharma,Stocks,610867,62393,67918
WALMART,Healthcare,Software,821866,94281,33278
ADOBE,Technology,Banking Sector,365477,26455,46950
IBM,Healthcare,Vehicle Manufacturing,242957,57479,57993
APPLE,Automobile,Healthcare,310628,74898,48619
WALMART,Healthcare,Healthcare,474497,60464,53202
IBM,Healthcare,Software,734258,63187,41909
ADOBE,Banking,General,759122,66264,76006
WALMART,Energy,Vehicle Manufacturing,527370,82669,46295
ADOBE,Pharma,Vehicle Manufacturing,151865,45818,59691
AMAZON,Energy,Stocks,192905,69188,30761
GOOGLE,Pharma,Banking Sector,232174,61585,39328
GOOGLE,Energy,Healthcare,785934,64297,48036
AMAZON,Pharma,Stocks,125359,76867,67609
MICROSOFT,Energy,Vehicle Manufacturing,683580,76773,44939
TESLA,Technology,Vehicle Manufacturing,269136,44886,55899
META,Retailing,Software,756182,86464,34466
NETFLIX,Technology,Petroleum,218513,50308,34840
MICROSOFT,Healthcare,Petroleum,739987,43543,53445
WALMART,Healthcare,Stocks,339508,64396,37075
MICROSOFT,Retailing,Software,552433,11055,52395
GOOGLE,Retailing,General,391875,53102,66457
AMAZON,Technology,Vehicle Manufacturing,473599,13874,89638
GOOGLE,Energy,Pharmaceutical,441762,75958,39479
ADOBE,Technology,Petroleum,574752,52665,72617
APPLE,Healthcare,Healthcare,428198,46861,31851
TESLA,Automobile,Vehicle Manufacturing,191248,72609,79519
META,Banking,Petroleum,665842,27616,75887
ADOBE,Pharma,General,698261,81915,89477
APPLE,Healthcare,Vehicle Manufacturing,609153,83240,39532
IBM,Energy,Petroleum,589362,46503,57112
AMAZON,Healthcare,Petroleum,362475,53788,70799
GOOGLE,Automobile,Vehicle Manufacturing,402900,82554,57668
TESLA,Banking,Healthcare,735029,62881,75644
TESLA,Pharma,Software,451752,77417,54979
TESLA,Energy,Petroleum,468226,55601,68558
ADOBE,Energy,General,241020,27268,70219
GOOGLE,Banking,Stocks,186434,73620,53679
MICROSOFT,Banking,Vehicle Manufacturing,171649,57040,37431
IBM,Automobile,Petroleum,568004,19109,44881
TESLA,Pharma,Vehicle Manufacturing,342203,66213,50603
MICROSOFT,Automobile,Stocks,229866,78458,67962
ADOBE,Energy,Banking Sector,753614,18315,54837
META,Technology,General,150976,88872,72995
WALMART,Pharma,Pharmaceutical,267487,50152,64757
TESLA,Energy,Stocks,174239,49445,54663
NETFLIX,Banking,Pharmaceutical,708797,91398,58502
NETFLIX,Automobile,Vehicle Manufacturing,177431,53844,81719
NETFLIX,Energy,Stocks,140052,51729,50627
NETFLIX,Healthcare,Banking Sector,638832,69077,52276
AMAZON,Technology,Software,448508,52803,44465
MICROSOFT,Healthcare,General,570803,28151,45893
ORACLE,Energy,Vehicle Manufacturing,524780,28145,85986
WALMART,Retailing,Vehicle Manufacturing,477853,48904,33551
IBM,Automobile,Banking Sector,757973,90723,52742
MICROSOFT,Technology,General,833069,66770,40503
GOOGLE,Technology,Stocks,284546,49549,41864
META,Automobile,Software,813541,73121,50356
NETFLIX,Retailing,Banking Sector,768063,19825,55568
APPLE,Technology,Petroleum,310469,47822,76474
IBM,Technology,Banking Sector,652811,43925,64957
AMAZON,Banking,Vehicle Manufacturing,187881,11802,79839
AMAZON,Technology,Petroleum,622638,88176,63834
NETFLIX,Automobile,Software,710975,27757,42837
IBM,Retailing,Banking Sector,590660,12785,82554
ADOBE,Automobile,Stocks,553394,45487,85885
GOOGLE,Banking,Vehicle Manufacturing,204838,30303,77870
IBM,Retailing,General,338795,80305,46464
MICROSOFT,Banking,Software,483770,40881,58185
ORACLE,Banking,Vehicle Manufacturing,683146,17303,60225
AMAZON,Energy,Stocks,511395,45698,63689
GOOGLE,Energy,Stocks,254400,84071,75528
MICROSOFT,Pharma,Banking Sector,390518,58451,82226
ADOBE,Technology,General,833649,67260,46676
ADOBE,Banking,Banking Sector,424061,72239,52186
GOOGLE,Healthcare,Healthcare,205429,25601,39171
MICROSOFT,Retailing,Software,424332,81420,70290
META,Banking,Petroleum,597645,68460,89059
NETFLIX,Healthcare,Healthcare,379695,49465,72274
WALMART,Banking,Stocks,638052,33245,32012
MICROSOFT,Healthcare,Vehicle Manufacturing,843361,33245,83716
IBM,Automobile,Banking Sector,138228,82159,33983
IBM,Pharma,Vehicle Manufacturing,383933,16466,46707
ORACLE,Banking,Healthcare,159812,61674,69903
MICROSOFT,Energy,Stocks,404723,92805,88575
MICROSOFT,Energy,Healthcare,445427,12548,32343
WALMART,Banking,Petroleum,664704,20060,76868
NETFLIX,Automobile,Software,654694,48565,63697
IBM,Healthcare,Vehicle Manufacturing,487115,33577,48274
ADOBE,Energy,Banking Sector,399362,45326,58016
APPLE,Healthcare,Healthcare,686072,58399,75117
IBM,Automobile,Healthcare,597211,83413,37022
APPLE,Banking,Banking Sector,377626,89086,38082
GOOGLE,Pharma,Software,651740,78173,73323
ADOBE,Healthcare,Vehicle Manufacturing,777317,85435,67963
NETFLIX,Pharma,Stocks,849146,89492,33992
ADOBE,Energy,Software,731889,28412,84887
META,Technology,Pharmaceutical,596244,29026,46632
NETFLIX,Retailing,General,218891,89409,65418
NETFLIX,Banking,Pharmaceutical,308531,46101,38663
MICROSOFT,Healthcare,Healthcare,746168,69920,40664
AMAZON,Retailing,Healthcare,720604,24527,39892
IBM,Banking,Software,156544,62366,83537
GOOGLE,Pharma,Healthcare,305777,78774,86815
AMAZON,Technology,Healthcare,300933,30097,37938
APPLE,Healthcare,Petroleum,140626,35263,45074
GOOGLE,Technology,General,191092,79422,55292
META,Automobile,Vehicle Manufacturing,245181,16938,89640
APPLE,Pharma,Software,529995,26951,30734
AMAZON,Technology,Pharmaceutical,323548,59846,55147
IBM,Energy,General,371658,83487,48963
ORACLE,Banking,Healthcare,797297,22147,68642
AMAZON,Healthcare,General,631030,47223,57599
AMAZON,Banking,Stocks,329459,52269,50272
NETFLIX,Healthcare,Banking Sector,834132,23800,32285
APPLE,Retailing,General,604245,63989,41952
APPLE,Energy,Pharmaceutical,470426,88113,54850
META,Healthcare,Petroleum,472505,13561,89175
APPLE,Automobile,Vehicle Manufacturing,825912,62109,57661
ADOBE,Technology,Petroleum,138675,62509,54311
ADOBE,Healthcare,Petroleum,219682,40464,48493
APPLE,Healthcare,Software,692965,53458,36591
NETFLIX,Pharma,Pharmaceutical,773663,72529,32749
AMAZON,Pharma,General,510125,84622,79821
MICROSOFT,Automobile,Vehicle Manufacturing,699865,37516,49280
AMAZON,Retailing,Vehicle Manufacturing,685249,85379,67001
TESLA,Automobile,Stocks,532281,90551,60088
APPLE,Pharma,Healthcare,691163,67813,66571
AMAZON,Pharma,Petroleum,620429,80355,74703
WALMART,Banking,Software,769208,20522,53860
APPLE,Energy,Vehicle Manufacturing,314383,58581,59722
IBM,Pharma,Software,520370,14063,75430
TESLA,Retailing,Stocks,148359,22400,38696
NETFLIX,Banking,Banking Sector,601632,93714,64208
TESLA,Pharma,Stocks,523606,12925,49839
IBM,Pharma,General,724407,59305,39122
IBM,Healthcare,Software,503752,54989,63455
ORACLE,Technology,Software,635297,70889,49057
IBM,Banking,Stocks,636996,49901,55237
TESLA,Retailing,Petroleum,226263,82016,74104
WALMART,Pharma,Stocks,418948,23045,69882
TESLA,Automobile,Stocks,581909,45900,41601
GOOGLE,Retailing,Software,475504,78138,68511
IBM,Automobile,General,402174,59030,47458
GOOGLE,Technology,Banking Sector,839096,49489,54434
META,Healthcare,General,459454,68031,81085
AMAZON,Retailing,General,731053,29551,38279
ORACLE,Automobile,General,727430,13367,78124
APPLE,Technology,Vehicle Manufacturing,355222,55849,56870
ADOBE,Technology,Software,305016,38691,84216
GOOGLE,Energy,Software,311253,76942,40679
AMAZON,Pharma,Banking Sector,418599,11662,33828
IBM,Automobile,Stocks,293734,45316,76994
META,Retailing,Petroleum,267868,66008,34750
NETFLIX,Pharma,Banking Sector,131550,74107,34319
APPLE,Healthcare,Banking Sector,714780,18733,35994
IBM,Pharma,Banking Sector,126075,91008,41665
META,Healthcare,Petroleum,813848,22294,50642
GOOGLE,Automobile,Petroleum,170738,58543,44903
META,Technology,Stocks,334305,16747,32151
META,Technology,Vehicle Manufacturing,747485,52144,74596
APPLE,Technology,Software,393881,22353,87491
AMAZON,Pharma,Pharmaceutical,714063,53890,75817
ADOBE,Retailing,Stocks,720053,79406,60692
NETFLIX,Pharma,Healthcare,557144,56169,38618
TESLA,Energy,Pharmaceutical,620155,26147,57093
IBM,Pharma,Stocks,622166,37500,82741
ADOBE,Healthcare,Petroleum,348574,20269,32327
ADOBE,Energy,General,286196,57110,80769
AMAZON,Banking,Vehicle Manufacturing,357552,35009,34503
META,Energy,Healthcare,502427,68389,46779
AMAZON,Healthcare,Healthcare,478784,30842,57569
AMAZON,Technology,Vehicle Manufacturing,411270,82522,58535
APPLE,Banking,Vehicle Manufacturing,594557,36396,68553
AMAZON,Retailing,Pharmaceutical,439127,82033,62989
MICROSOFT,Pharma,Pharmaceutical,310468,52670,82442
MICROSOFT,Automobile,Pharmaceutical,550608,29074,65402
APPLE,Energy,Banking Sector,180651,69394,83497
META,Energy,General,537586,58199,59424
TESLA,Energy,Banking Sector,208950,58739,56022
GOOGLE,Retailing,Stocks,135205,88865,32229
AMAZON,Energy,Banking Sector,237344,16571,62334
WALMART,Banking,Pharmaceutical,153894,89654,36666
MICROSOFT,Technology,Petroleum,229980,71646,81046
AMAZON,Automobile,Petroleum,755222,13503,39327
ORACLE,Healthcare,Pharmaceutical,591810,61995,33537
WALMART,Banking,Stocks,301360,94079,31559
NETFLIX,Banking,Banking Sector,370165,52304,83580
ADOBE,Banking,Petroleum,840745,34216,30042
IBM,Banking,Stocks,316093,68375,89055
ORACLE,Healthcare,Banking Sector,187412,12386,40348
NETFLIX,Healthcare,General,207774,52878,37274
ORACLE,Retailing,Stocks,488881,88096,47015
META,Banking,Banking Sector,158544,68417,48515
APPLE,Healthcare,Software,229745,69057,76149
MICROSOFT,Healthcare,Stocks,611220,88982,66093
APPLE,Energy,Banking Sector,800192,14676,89864
MICROSOFT,Banking,Petroleum,175483,12274,55734
ADOBE,Banking,Healthcare,443832,12599,43321
TESLA,Technology,General,415910,56640,38261
APPLE,Retailing,Vehicle Manufacturing,172822,77385,70080
ADOBE,Technology,Petroleum,694126,50307,71081
TESLA,Technology,Healthcare,810707,55146,87704
TESLA,Pharma,Stocks,696938,58077,52682
MICROSOFT,Energy,Banking Sector,278624,16990,53681
NETFLIX,Technology,General,187206,64419,61909
TESLA,Pharma,General,800414,13519,56069
TESLA,Automobile,General,202267,82661,55353
META,Automobile,Pharmaceutical,171230,42671,61390
AMAZON,Energy,Stocks,353384,36407,67373
ADOBE,Energy,Banking Sector,360959,13688,30182
NETFLIX,Automobile,Software,520288,31601,51900
ORACLE,Technology,Healthcare,293485,93953,52802
APPLE,Technology,Software,347839,60739,50519
ADOBE,Retailing,Vehicle Manufacturing,317565,48469,36931
META,Pharma,Pharmaceutical,317697,87298,34007
WALMART,Retailing,Stocks,354465,40009,50166
ORACLE,Healthcare,Petroleum,198131,12996,78315
APPLE,Pharma,General,799392,66280,84980
WALMART,Technology,Banking Sector,381151,11736,71759
AMAZON,Pharma,Vehicle Manufacturing,660231,44197,45923
APPLE,Retailing,Petroleum,217679,61335,55728
META,Retailing,Stocks,771202,11851,48454
WALMART,Energy,Software,475311,84737,66469
AMAZON,Automobile,Banking Sector,718067,35388,35749
GOOGLE,Pharma,Vehicle Manufacturing,451825,32952,55902
APPLE,Retailing,Healthcare,564437,34485,82254
APPLE,Banking,Stocks,604800,59502,53181
AMAZON,Retailing,Petroleum,393261,71547,60367
APPLE,Banking,Stocks,126150,69316,37506
IBM,Healthcare,Banking Sector,294976,40576,76772
AMAZON,Technology,Stocks,323228,67550,75902
GOOGLE,Technology,Stocks,195805,57212,89434
AMAZON,Healthcare,Petroleum,672622,86084,89628
META,Banking,General,844737,58977,67063
IBM,Automobile,Petroleum,242508,76946,58608
MICROSOFT,Pharma,Banking Sector,473458,83120,66084
IBM,Banking,Banking Sector,721613,71784,75237
META,Retailing,Petroleum,525262,83877,63866
APPLE,Banking,General,481169,41976,61375
AMAZON,Healthcare,Healthcare,195431,82760,54604
TESLA,Retailing,Software,305751,77724,48095
ORACLE,Energy,General,814288,23579,63679
GOOGLE,Retailing,Software,295407,11159,33537
GOOGLE,Pharma,Healthcare,769918,49606,65170
GOOGLE,Banking,Healthcare,266841,31380,33877
ADOBE,Technology,Pharmaceutical,417284,74868,48268
WALMART,Retailing,Stocks,675398,25379,34327
NETFLIX,Energy,Healthcare,135703,27584,78216
WALMART,Banking,General,258778,15733,71552
MICROSOFT,Technology,Pharmaceutical,281518,39707,85861
GOOGLE,Retailing,Software,647219,58077,85737
GOOGLE,Banking,Petroleum,380537,59880,77045
MICROSOFT,Technology,Stocks,652788,23260,57389
ORACLE,Technology,Vehicle Manufacturing,390778,62887,42913
APPLE,Banking,General,486165,88970,45126
META,Automobile,Software,498145,63151,89185
TESLA,Technology,Healthcare,263432,20311,74812
APPLE,Banking,Stocks,752273,22751,57244
WALMART,Healthcare,Petroleum,617491,50129,54780
TESLA,Technology,Stocks,735313,80584,44297
IBM,Healthcare,General,401478,43498,85190
AMAZON,Healthcare,Pharmaceutical,195129,92276,55368
NETFLIX,Retailing,Stocks,720055,21637,82524
MICROSOFT,Technology,Vehicle Manufacturing,635497,12833,62839
APPLE,Energy,Vehicle Manufacturing,709245,59309,85131
NETFLIX,Healthcare,Vehicle Manufacturing,607874,16318,55111
MICROSOFT,Banking,Vehicle Manufacturing,285402,22024,67377
AMAZON,Healthcare,Vehicle Manufacturing,504637,58404,33961
ADOBE,Pharma,Pharmaceutical,392109,50387,72993
APPLE,Automobile,Vehicle Manufacturing,535534,36735,74882
ADOBE,Pharma,Healthcare,360635,85390,57317
ORACLE,Technology,Pharmaceutical,803662,90235,54702
GOOGLE,Automobile,Healthcare,260765,33143,55253
GOOGLE,Automobile,Petroleum,217756,49734,39624
ADOBE,Retailing,Vehicle Manufacturing,822790,29015,84312
ORACLE,Banking,Banking Sector,404503,30831,36646
WALMART,Pharma,General,684730,75617,68936
WALMART,Pharma,Petroleum,778026,64420,39667
WALMART,Retailing,Pharmaceutical,213746,89746,67414
WALMART,Automobile,Pharmaceutical,356319,37347,66680
ORACLE,Healthcare,Healthcare,265486,47927,60207
GOOGLE,Energy,General,507384,80681,45456
MICROSOFT,Retailing,Pharmaceutical,337134,15552,83013
MICROSOFT,Technology,Petroleum,508615,80337,62735
NETFLIX,Technology,Banking Sector,405049,59469,86594
META,Healthcare,Vehicle Manufacturing,848338,84887,74245
ADOBE,Automobile,Banking Sector,600562,63609,68458
ADOBE,Banking,Banking Sector,334052,58250,45723
NETFLIX,Energy,Software,409011,62514,55340
TESLA,Healthcare,Vehicle Manufacturing,191670,67479,43672
ADOBE,Retailing,Petroleum,310685,55991,48713
ORACLE,Technology,General,725505,54521,84969
TESLA,Energy,Petroleum,483288,35296,79834
NETFLIX,Pharma,Stocks,463791,59655,67730
NETFLIX,Automobile,Pharmaceutical,593382,34818,37395
MICROSOFT,Technology,Software,414599,28918,45702
ORACLE,Healthcare,Petroleum,403601,34801,55218
IBM,Healthcare,Pharmaceutical,180196,45704,72641
AMAZON,Pharma,Healthcare,384850,31632,57227
IBM,Energy,Banking Sector,448953,38982,77080
APPLE,Automobile,Vehicle Manufacturing,355697,71017,44811
IBM,Banking,General,156444,81013,72311
WALMART,Banking,Petroleum,644760,80576,83867
ORACLE,Retailing,Stocks,251088,21407,54140
AMAZON,Automobile,Petroleum,709037,47811,50862
GOOGLE,Retailing,Banking Sector,814901,47616,78439
GOOGLE,Automobile,Software,397379,46003,85321
WALMART,Banking,Software,175970,25736,62585
MICROSOFT,Banking,Stocks,804587,14318,75318
AMAZON,Automobile,Banking Sector,279757,40171,89305
META,Automobile,Software,263471,86668,58178
NETFLIX,Banking,Banking Sector,551495,35680,42778
META,Technology,Petroleum,417193,19119,72316
APPLE,Healthcare,Banking Sector,284908,68583,65193
IBM,Technology,Banking Sector,466294,79045,73141
APPLE,Technology,General,284365,74418,86120
WALMART,Retailing,Stocks,193904,51525,42209
ORACLE,Automobile,Healthcare,250740,66760,31734
TESLA,Energy,Healthcare,726530,27176,80412
MICROSOFT,Healthcare,Vehicle Manufacturing,679787,93253,75490
IBM,Automobile,Stocks,161786,37012,37970
MICROSOFT,Automobile,Banking Sector,493117,31207,63954
NETFLIX,Retailing,General,755123,35443,67723
WALMART,Healthcare,Software,383087,56084,38376
ORACLE,Pharma,Banking Sector,816298,38945,89607
MICROSOFT,Retailing,Stocks,283100,94877,75431
META,Retailing,Healthcare,672579,90087,69840
GOOGLE,Technology,Pharmaceutical,506252,73086,75297
MICROSOFT,Healthcare,Banking Sector,361455,27934,44852
NETFLIX,Automobile,Petroleum,656917,56876,32277
META,Automobile,Petroleum,176332,83250,60088
APPLE,Pharma,Stocks,532990,90578,62626
IBM,Healthcare,Stocks,334613,60955,32528
IBM,Technology,Software,255737,31443,55980
IBM,Energy,Healthcare,710394,84429,71426
GOOGLE,Banking,Petroleum,641942,93610,58491
ADOBE,Pharma,Pharmaceutical,547090,73714,43127
ORACLE,Automobile,Pharmaceutical,262388,30024,43750
MICROSOFT,Banking,Stocks,273514,32153,76666
AMAZON,Technology,Petroleum,761934,49277,46630
GOOGLE,Energy,Stocks,822307,93750,86376
GOOGLE,Retailing,Banking Sector,549701,18492,54708
GOOGLE,Healthcare,Banking Sector,346316,59705,72997
APPLE,Automobile,Healthcare,791298,73755,86655
MICROSOFT,Technology,Petroleum,682394,18264,47796
NETFLIX,Banking,Software,414175,24702,84242
MICROSOFT,Technology,Software,826499,52321,45015
AMAZON,Energy,Petroleum,809931,84621,51230
GOOGLE,Technology,Petroleum,355426,61510,41437
NETFLIX,Banking,General,658429,48594,73513
NETFLIX,Retailing,Software,813758,58890,55304
IBM,Energy,Pharmaceutical,624273,16902,53693
ORACLE,Energy,Petroleum,307745,93078,73233
IBM,Energy,Petroleum,573915,46083,34719
IBM,Pharma,Banking Sector,470975,67133,47800
APPLE,Pharma,Petroleum,729223,60279,68825
MICROSOFT,Pharma,Banking Sector,597760,82712,62548
ORACLE,Healthcare,Stocks,188122,73542,82653
APPLE,Healthcare,Stocks,144042,44242,41057
NETFLIX,Retailing,General,199575,92625,86811
WALMART,Automobile,Petroleum,267559,22770,39808
ADOBE,Technology,Healthcare,724338,42935,79276
NETFLIX,Pharma,Vehicle Manufacturing,610236,80727,67128
WALMART,Automobile,Vehicle Manufacturing,163100,85238,64289
META,Retailing,Petroleum,297987,66884,62148
META,Retailing,Petroleum,756182,35297,38641
META,Banking,Vehicle Manufacturing,832736,14711,60171
ORACLE,Banking,Software,805261,82394,57548
ORACLE,Retailing,Healthcare,786614,85929,88989
ADOBE,Retailing,Petroleum,756890,23018,71285
NETFLIX,Energy,Pharmaceutical,322526,15047,63586
WALMART,Banking,Banking Sector,315514,41562,38171
GOOGLE,Technology,Stocks,251931,87820,34538
ORACLE,Healthcare,General,491063,74738,82923
NETFLIX,Energy,Pharmaceutical,715390,94897,59890
ADOBE,Automobile,General,177367,11156,39193
NETFLIX,Pharma,Software,539861,51130,50262
AMAZON,Banking,Vehicle Manufacturing,645525,63548,49512
TESLA,Automobile,Software,449544,22668,57511
MICROSOFT,Automobile,Banking Sector,572354,15426,46838
ORACLE,Technology,General,551462,43016,53134
ORACLE,Banking,Healthcare,618103,37106,32466
TESLA,Banking,Vehicle Manufacturing,410631,85061,57959
TESLA,Retailing,Software,587819,21364,37203
WALMART,Pharma,Banking Sector,269025,85620,75609
NETFLIX,Retailing,Banking Sector,340889,17494,75529
ORACLE,Pharma,Software,133343,34494,54117
ORACLE,Technology,Stocks,679713,32115,60321
NETFLIX,Banking,Healthcare,572287,50283,45385
IBM,Healthcare,Banking Sector,768911,49008,64374
TESLA,Healthcare,Banking Sector,766439,62573,52851
ADOBE,Automobile,Vehicle Manufacturing,385061,50129,51653
ADOBE,Healthcare,Pharmaceutical,357161,51290,76467
ADOBE,Healthcare,Petroleum,445185,91214,37950
NETFLIX,Pharma,Healthcare,761968,42779,84642
ADOBE,Energy,Software,423937,40676,67677
ADOBE,Automobile,Pharmaceutical,143010,79920,79746
WALMART,Healthcare,Stocks,278201,40429,33128
TESLA,Energy,Vehicle Manufacturing,259536,90356,77379
META,Banking,Healthcare,728580,80884,72109
AMAZON,Pharma,Pharmaceutical,229604,43660,40334
IBM,Technology,Software,260359,19022,75303
GOOGLE,Technology,Software,170457,73774,51418
ADOBE,Healthcare,Banking Sector,327077,48626,71307
NETFLIX,Energy,Banking Sector,620575,87756,38644
GOOGLE,Technology,Healthcare,135654,16624,49776
ADOBE,Pharma,Vehicle Manufacturing,444172,61004,34200
GOOGLE,Banking,Healthcare,719095,18157,83933
APPLE,Retailing,Banking Sector,236816,28873,81038
IBM,Retailing,Software,474509,62574,86644
ORACLE,Pharma,Vehicle Manufacturing,324559,54354,68164
ORACLE,Banking,Software,127429,83794,58196
IBM,Pharma,Healthcare,197125,45221,76256
ORACLE,Pharma,Pharmaceutical,323340,44996,75597
ORACLE,Automobile,Vehicle Manufacturing,357036,22094,34749
MICROSOFT,Pharma,Banking Sector,175392,37830,49439
GOOGLE,Retailing,Vehicle Manufacturing,290225,28790,32194
MICROSOFT,Retailing,Pharmaceutical,604743,49371,42000
ADOBE,Automobile,Healthcare,812890,25127,31226
ADOBE,Retailing,Software,732592,65484,63058
